assembly ID	domain	phylum	class	order	family	genus	species	full scientific name	metabolism
GCA_007289895	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	Catenovulum sediminis	<I>Catenovulum</I> <I>sediminis</I> Shi et al. 2017	obligate aerobe
GCA_002749615	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter mirabilis	<I>Caulobacter</I> <I>mirabilis</I> Abraham et al. 2008	aerobe
GCA_007829255	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter rhizosphaerae	<I>Caulobacter</I> <I>rhizosphaerae</I> Sun et al. 2017	aerobe
GCA_010977555	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter rhizosphaerae	<I>Caulobacter</I> <I>rhizosphaerae</I> Sun et al. 2017	aerobe
GCA_001517835	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Caviibacter	Caviibacter abscessus	<I>Caviibacter</I> <I>abscessus</I> Eisenberg et al. 2016	obligate anaerobe
GCA_001517865	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Caviibacter	Caviibacter abscessus	<I>Caviibacter</I> <I>abscessus</I> Eisenberg et al. 2016	obligate anaerobe
GCA_000092865	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas flavigena	<I>Cellulomonas</I> <I>flavigena</I> (Kellerman and McBeth 1912) Bergey et al. 1923 (Approved Lists 1980)	aerobe
GCA_001580045	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus capnophilus	<I>Cephaloticoccus</I> <I>capnophilus</I> Lin et al. 2016	obligate aerobe
GCA_001580015	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus primus	<I>Cephaloticoccus</I> <I>primus</I> Lin et al. 2016	obligate aerobe
GCA_007991195	Bacteria	Firmicutes	Bacilli	Caryophanales	Bacillaceae	Cerasibacillus	Cerasibacillus quisquiliarum	<I>Cerasibacillus</I> <I>quisquiliarum</I> Nakamura et al. 2004	aerobe
GCA_010078385	Bacteria	Firmicutes	Bacilli	Caryophanales	Paenibacillaceae	Chengkuizengella	Chengkuizengella sediminis	<I>Chengkuizengella</I> <I>sediminis</I> Cao et al. 2017	aerobe
GCA_003958645	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga rhizosphaerae	<I>Chitinophaga</I> <I>rhizosphaerae</I> Kim et al. 2017	aerobe
GCA_011372505	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum parvum	<I>Chlorobaculum</I> <I>parvum</I> Imhoff 2003	anaerobe
GCA_011372555	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum parvum	<I>Chlorobaculum</I> <I>parvum</I> Imhoff 2003	anaerobe
GCA_006265165	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum thiosulfatiphilum	<I>Chlorobaculum</I> <I>thiosulfatiphilum</I> Imhoff 2003	anaerobe
GCA_000016085	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeovibrioides	<I>Chlorobium</I> <I>phaeovibrioides</I> Pfennig 1968 (Approved Lists 1980)	anaerobe
GCA_001650695	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus islandicus	<I>Chloroflexus</I> <I>islandicus</I> Gaisin et al. 2017	aerobe
GCA_000711885	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_000758475	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_002081815	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_002081825	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_002081855	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_003052545	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_003332145	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_009936155	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_011602385	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium haemolyticum	<I>Chromobacterium</I> <I>haemolyticum</I> Han et al. 2008	aerobe
GCA_001953795	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	<I>Chromobacterium</I> <I>violaceum</I> Bergonzini 1880 (Approved Lists 1980)	aerobe
GCA_003443515	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium rhizoryzae	<I>Chromobacterium</I> <I>rhizoryzae</I> Zhou et al. 2016	facultative anaerobe
GCA_003815955	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium bernardetii	<I>Chryseobacterium</I> <I>bernardetii</I> Holmes et al. 2013	aerobe
GCA_003815975	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium bernardetii	<I>Chryseobacterium</I> <I>bernardetii</I> Holmes et al. 2013	aerobe
GCA_003860585	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium carnis	<I>Chryseobacterium</I> <I>carnis</I> Holmes et al. 2013	aerobe
GCA_003634775	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium defluvii	<I>Chryseobacterium</I> <I>defluvii</I> Kämpfer et al. 2003	aerobe
GCA_003730015	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium hominis	<I>Chryseobacterium</I> <I>hominis</I> Vaneechoutte et al. 2007	aerobe
GCA_001045435	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium koreense	<I>Chryseobacterium</I> <I>koreense</I> (Kim et al. 2004) Kämpfer et al. 2009	aerobe
GCA_003385535	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium massiliense	<I>Candidatus</I> Chryseobacterium massiliense corrig. Greub et al. 2004	aerobe
GCA_003755145	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium nakagawai	<I>Chryseobacterium</I> <I>nakagawai</I> Holmes et al. 2013	aerobe
GCA_003815735	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium nakagawai	<I>Chryseobacterium</I> <I>nakagawai</I> Holmes et al. 2013	aerobe
GCA_900637665	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium nakagawai	<I>Chryseobacterium</I> <I>nakagawai</I> Holmes et al. 2013	aerobe
GCA_900115055	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium oleae	<I>Chryseobacterium</I> <I>oleae</I> Montero-Calasanz et al. 2014	aerobe
GCA_002899895	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium oncorhynchi	<I>Chryseobacterium</I> <I>oncorhynchi</I> Zamora et al. 2012	aerobe
GCA_002943655	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium shigense	<I>Chryseobacterium</I> <I>shigense</I> Shimomura et al. 2005	aerobe
GCA_900156575	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium shigense	<I>Chryseobacterium</I> <I>shigense</I> Shimomura et al. 2005	aerobe
GCA_900446825	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium shigense	<I>Chryseobacterium</I> <I>shigense</I> Shimomura et al. 2005	aerobe
GCA_000737765	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium vrystaatense	<I>Chryseobacterium</I> <I>vrystaatense</I> de Beer et al. 2005	aerobe
GCA_009664385	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Chryseoglobus	Chryseoglobus frigidaquae	<I>Chryseoglobus</I> <I>frigidaquae</I> Baik et al. 2010	aerobe
GCA_000731055	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_000936345	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_000972645	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_001276105	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_001276125	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_001373155	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_001471655	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_001558935	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_001559075	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_002151695	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	<I>Citrobacter</I> <I>amalonaticus</I> (Young et al. 1971) Brenner and Farmer 1982	aerobe
GCA_000786265	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_000786275	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_001022685	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_001059745	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_001062165	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_001065805	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_001067775	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_001952715	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_002073755	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_002075345	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	<I>Citrobacter</I> <I>braakii</I> Brenner et al. 1993	aerobe
GCA_003795375	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter europaeus	<I>Citrobacter</I> <I>europaeus</I> Ribeiro et al. 2017	facultative anaerobe
GCA_900079995	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter europaeus	<I>Citrobacter</I> <I>europaeus</I> Ribeiro et al. 2017	facultative anaerobe
GCA_900080005	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter europaeus	<I>Citrobacter</I> <I>europaeus</I> Ribeiro et al. 2017	facultative anaerobe
GCA_000312465	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000714305	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000734905	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000759735	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000783755	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000783995	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000937455	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000937505	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000982845	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_001022155	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	<I>Citrobacter</I> <I>freundii</I> (Braak 1928) Werkman and Gillen 1932 (Approved Lists 1980)	aerobe
GCA_000158355	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_000238735	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_000521945	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_001281005	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_001867255	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_001880775	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_002042885	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_002051555	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_002215605	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_002843195	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter portucalensis	<I>Citrobacter</I> <I>portucalensis</I> Ribeiro et al. 2017	facultative anaerobe
GCA_002025225	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_002099305	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_002114305	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_002185305	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_002386385	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_003665555	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_004146135	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_008364715	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_008693645	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_009821535	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter werkmanii	<I>Citrobacter</I> <I>werkmanii</I> Brenner et al. 1993	aerobe
GCA_001280205	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter capsici	<I>Clavibacter</I> <I>capsici</I> (Oh et al. 2016) Li et al. 2018	aerobe
GCA_011801225	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter capsici	<I>Clavibacter</I> <I>capsici</I> (Oh et al. 2016) Li et al. 2018	aerobe
GCA_011801245	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter capsici	<I>Clavibacter</I> <I>capsici</I> (Oh et al. 2016) Li et al. 2018	aerobe
GCA_011801265	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter capsici	<I>Clavibacter</I> <I>capsici</I> (Oh et al. 2016) Li et al. 2018	aerobe
GCA_000376285	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000438845	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000632735	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000821005	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000821025	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000826625	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000828225	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000828235	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000828245	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000828255	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_008868185	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000155025	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_001995155	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	<I>Clostridioides</I> <I>difficile</I> (Hall and O'Toole 1935) Lawson et al. 2016	anaerobe
GCA_000008765	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	<I>Clostridium</I> <I>acetobutylicum</I> McCoy et al. 1926 (Approved Lists 1980)	anaerobe
GCA_000785855	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	<I>Clostridium</I> <I>acetobutylicum</I> McCoy et al. 1926 (Approved Lists 1980)	anaerobe
GCA_002006385	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	<I>Clostridium</I> <I>acetobutylicum</I> McCoy et al. 1926 (Approved Lists 1980)	anaerobe
GCA_002216285	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	<I>Clostridium</I> <I>acetobutylicum</I> McCoy et al. 1926 (Approved Lists 1980)	anaerobe
GCA_002954145	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	<I>Clostridium</I> <I>acetobutylicum</I> McCoy et al. 1926 (Approved Lists 1980)	anaerobe
GCA_003254825	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium acetobutylicum	<I>Clostridium</I> <I>acetobutylicum</I> McCoy et al. 1926 (Approved Lists 1980)	anaerobe
